rearrange_adhesions,update_frame,update_nuc,update_cell,correct_conc,diffuse_k0,save_state,
89,0,117,4,0,25,0,
0,0,112,4,0,24,0,
0,0,112,5,0,24,0,
0,0,112,5,0,23,0,
0,0,112,5,0,24,0,
0,0,112,5,0,24,0,
0,0,112,5,0,23,0,
0,0,112,5,0,23,0,
0,0,113,5,0,22,0,
0,0,113,5,0,23,0,
0,0,113,5,0,22,0,
0,0,113,6,0,21,0,
0,0,125,7,0,25,0,
0,0,113,6,0,24,0,
0,0,112,6,0,23,0,
0,0,112,6,0,24,0,
0,0,114,6,0,24,0,
0,0,116,6,0,30,0,
0,0,114,6,0,31,0,
0,0,111,6,0,19,0,
0,0,113,6,0,38,0,
0,0,114,6,0,21,0,
0,0,112,6,0,21,0,
0,0,113,6,0,21,0,
0,0,112,6,0,22,0,
0,0,113,6,0,21,0,
0,0,113,6,0,18,0,
0,0,113,6,0,22,0,
0,0,113,6,0,22,0,
0,0,113,6,0,22,0,
0,0,112,6,0,23,0,
0,0,112,6,0,21,0,
0,0,112,6,0,23,0,
0,0,112,6,0,22,0,
0,0,111,6,0,22,0,
0,0,114,7,0,27,0,
0,0,113,6,0,21,0,
0,0,113,6,0,29,0,
0,0,114,6,0,24,0,
0,0,113,6,0,23,0,
0,0,114,6,0,19,0,
0,0,114,7,0,23,0,
0,0,120,7,0,24,0,
0,0,113,7,0,23,0,
0,0,113,7,0,24,0,
0,0,113,7,0,23,0,
0,0,112,7,0,24,0,
0,0,113,7,0,23,0,
0,0,118,10,0,25,0,
0,0,113,6,0,21,0,
0,0,114,6,0,23,0,
0,0,114,7,0,30,0,
0,0,113,6,0,23,0,
0,0,112,6,0,22,0,
0,0,113,6,0,23,0,
0,0,113,7,0,23,0,
0,0,115,7,0,21,0,
0,0,114,6,0,23,0,
0,0,113,6,0,23,0,
0,0,114,6,0,23,0,
0,0,114,7,0,26,0,
0,0,113,7,0,23,0,
0,0,113,6,0,23,0,
0,0,112,6,0,22,0,
0,0,112,6,0,21,0,
0,0,112,7,0,23,0,
0,0,112,6,0,24,0,
0,0,112,6,0,23,0,
0,0,112,7,0,24,0,
0,0,112,7,0,24,0,
0,0,112,6,0,23,0,
0,0,112,6,0,23,0,
0,0,112,6,0,23,0,
0,0,112,6,0,23,0,
0,0,112,6,0,23,0,
0,0,112,6,0,24,0,
0,0,112,6,0,22,0,
0,0,112,7,0,19,0,
0,0,112,7,0,23,0,
0,0,113,7,0,23,0,
0,0,113,7,0,23,0,
0,0,112,7,0,24,0,
0,0,115,6,0,20,0,
0,0,115,6,0,24,0,
0,0,117,6,0,24,0,
0,0,116,6,0,23,0,
0,0,116,6,0,24,0,
0,0,117,6,0,23,0,
0,0,116,7,0,23,0,
0,0,116,7,0,24,0,
0,0,119,7,0,24,0,
0,0,116,6,0,24,0,
0,0,116,7,0,24,0,
0,0,117,6,0,22,0,
0,0,116,6,0,23,0,
0,0,117,6,0,21,0,
0,0,116,6,0,21,0,
0,0,118,7,0,22,0,
0,0,115,6,0,23,0,
0,0,115,7,0,24,10,
0,0,117,7,0,19,0,
0,0,115,7,0,23,0,
0,0,115,7,0,19,0,
0,0,114,7,0,23,0,
0,0,115,7,0,22,0,
0,0,115,7,0,23,0,
0,0,115,7,0,22,0,
0,0,115,7,0,23,0,
0,0,115,7,0,21,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,115,7,0,24,0,
0,0,115,7,0,22,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,116,7,0,23,0,
0,0,115,7,0,23,0,
0,0,116,7,0,23,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,115,7,0,23,0,
0,0,115,7,0,22,0,
0,0,115,7,0,20,0,
0,0,115,7,0,23,0,
0,0,115,7,0,22,0,
0,0,115,7,0,23,0,
0,0,116,7,0,22,0,
0,0,115,7,0,22,0,
